location1_id,location2_id,distance
0,1,7.2
0,2,3.8
1,2,7.1
0,3,11
1,3,6.4
2,3,9.2
0,4,2.2
1,4,6
2,4,4.4
3,4,5.6
0,5,3.5
1,5,4.8
2,5,2.8
3,5,6.9
4,5,1.9
0,6,10.9
1,6,1.6
2,6,8.6
3,6,8.6
4,6,7.9
5,6,6.3
0,7,8.6
1,7,2.8
2,7,6.3
3,7,4
4,7,5.1
5,7,4.3
6,7,4
0,8,7.6
1,8,4.8
2,8,5.3
3,8,11.1
4,8,7.5
5,8,4.5
6,8,4.2
7,8,7.7
0,9,2.8
1,9,6.3
2,9,1.6
3,9,7.3
4,9,2.6
5,9,1.5
6,9,8
7,9,9.3
8,9,4.8
0,10,6.4
1,10,7.3
2,10,10.4
3,10,1
4,10,6.5
5,10,8.7
6,10,8.6
7,10,4.6
8,10,11.9
9,10,9.4
0,11,3.2
1,11,5.3
2,11,3
3,11,6.4
4,11,1.5
5,11,0.8
6,11,6.9
7,11,4.8
8,11,4.7
9,11,1.1
10,11,7.3
0,12,7.6
1,12,4.8
2,12,5.3
3,12,11.1
4,12,7.5
5,12,4.5
6,12,4.2
7,12,7.7
8,12,0.6
9,12,5.1
10,12,12
11,12,4.7
0,13,5.2
1,13,3
2,13,6.5
3,13,3.9
4,13,3.2
5,13,3.9
6,13,4.2
7,13,1.6
8,13,7.6
9,13,4.6
10,13,4.9
11,13,3.5
12,13,7.3
0,14,4.4
1,14,4.6
2,14,5.6
3,14,4.3
4,14,2.4
5,14,3
6,14,8
7,14,3.3
8,14,7.8
9,14,3.7
10,14,5.2
11,14,2.6
12,14,7.8
13,14,1.3
0,15,3.661128164
1,15,4.5
2,15,5.8
3,15,4.4
4,15,2.7
5,15,3.8
6,15,5.8
7,15,3.4
8,15,6.6
9,15,4
10,15,5.4
11,15,2.9
12,15,6.6
13,15,1.5
14,15,0.6
0,16,7.6
1,16,7.4
2,16,5.7
3,16,7.2
4,16,1.4
5,16,5.7
6,16,7.2
7,16,3.1
8,16,7.2
9,16,6.7
10,16,8.1
11,16,6.3
12,16,7.2
13,16,4
14,16,6.4
15,16,5.6
0,17,2
1,17,6
2,17,4.1
3,17,5.3
4,17,0.5
5,17,1.9
6,17,7.7
7,17,5.1
8,17,5.9
9,17,2.3
10,17,6.2
11,17,1.2
12,17,5.9
13,17,3.2
14,17,2.4
15,17,1.6
16,17,7.1
0,18,3.6
1,18,5
2,18,3.6
3,18,6
4,18,1.7
5,18,1.1
6,18,6.6
7,18,4.6
8,18,5.4
9,18,1.8
10,18,6.9
11,18,1
12,18,5.4
13,18,3
14,18,2.2
15,18,1.7
16,18,6.1
17,18,1.6
0,19,6.5
1,19,4.8
2,19,4.3
3,19,10.6
4,19,6.5
5,19,3.5
6,19,3.2
7,19,6.7
8,19,1
9,19,4.1
10,19,11.5
11,19,3.7
12,19,1
13,19,6.9
14,19,6.8
15,19,6.4
16,19,7.2
17,19,4.9
18,19,4.4
0,20,1.9
1,20,9.5
2,20,3.3
3,20,5.9
4,20,3.2
5,20,4.9
6,20,11.2
7,20,8.1
8,20,8.5
9,20,3.8
10,20,6.9
11,20,4.1
12,20,8.5
13,20,6.2
14,20,5.3
15,20,4.9
16,20,10.6
17,20,3
18,20,4.6
19,20,7.5
0,21,3.4
1,21,10.9
2,21,5
3,21,7.4
4,21,5.2
5,21,6.9
6,21,12.7
7,21,10.4
8,21,10.3
9,21,5.8
10,21,8.3
11,21,6.2
12,21,10.3
13,21,8.2
14,21,7.4
15,21,6.9
16,21,12
17,21,5
18,21,6.6
19,21,9.3
20,21,2
0,22,2.4
1,22,8.3
2,22,6.1
3,22,4.7
4,22,2.5
5,22,4.2
6,22,10
7,22,7.8
8,22,7.8
9,22,4.3
10,22,4.1
11,22,3.4
12,22,7.8
13,22,5.5
14,22,4.6
15,22,4.2
16,22,9.4
17,22,2.3
18,22,3.9
19,22,6.8
20,22,2.9
21,22,4.4
0,23,6.4
1,23,6.9
2,23,9.7
3,23,0.6
4,23,6
5,23,9
6,23,8.2
7,23,4.2
8,23,11.5
9,23,7.8
10,23,0.4
11,23,6.9
12,23,11.5
13,23,4.4
14,23,4.8
15,23,5.6
16,23,7.5
17,23,5.5
18,23,6.5
19,23,11.4
20,23,6.4
21,23,7.9
22,23,4.5
0,24,2.4
1,24,10
2,24,6.1
3,24,6.4
4,24,4.2
5,24,5.9
6,24,11.7
7,24,9.5
8,24,9.5
9,24,4.8
10,24,4.9
11,24,5.2
12,24,9.5
13,24,7.2
14,24,6.3
15,24,5.9
16,24,11.1
17,24,4
18,24,5.6
19,24,8.5
20,24,2.8
21,24,3.4
22,24,1.7
23,24,5.4
0,25,5
1,25,4.4
2,25,2.8
3,25,10.1
4,25,5.4
5,25,3.5
6,25,5.1
7,25,6.2
8,25,2.8
9,25,3.2
10,25,11
11,25,3.7
12,25,2.8
13,25,6.4
14,25,6.5
15,25,5.7
16,25,6.2
17,25,5.1
18,25,4.3
19,25,1.8
20,25,6
21,25,7.9
22,25,6.8
23,25,10.6
24,25,7
0,26,3.6
1,26,13
2,26,7.4
3,26,10.1
4,26,5.5
5,26,7.2
6,26,14.2
7,26,10.7
8,26,14.1
9,26,6
10,26,6.8
11,26,6.4
12,26,14.1
13,26,10.5
14,26,8.8
15,26,8.4
16,26,13.6
17,26,5.2
18,26,6.9
19,26,13.1
20,26,4.1
21,26,4.7
22,26,3.1
23,26,7.8
24,26,1.3
25,26,8.3
